Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
Smiske Extra,Triple,0,Brasserie 't Smisje,Audenarde,East Flanders,Unknown,3,1013,Unknown,50.8433705,3.6041443
Smiske Winter,Ambrée,0,Brasserie 't Smisje,Audenarde,East Flanders,Unknown,0,6,Unknown,50.8433705,3.6041443
SnaasBière de Noël,Bière de Noël,0,Brasserie Deca,Vleteren,West Flanders,Unknown,0,0,Unknown,47.6865361,6.500773
Snoek Blond,Fermentation haute,0,Brasserie Bobbi,Haut-Ittre,Walloon Brabant,Unknown,3,467,Unknown,50.6488039,4.296471951359066
Snoek Bruin,Fermentation haute,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,88,Unknown,45.799734,11.7941917
Snuffelbeer,"Blonde dirée, Fermentation haute",0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,6,Unknown,52.6421622,5.0591962
Sparta Pils,Pils,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,2,3416,Unknown,53.7435722,-0.3394758
Special 6 Block,"Ambrée, Fermentation haute",0,Brasserie De Block,Merchtem,Flemish Brabant,Unknown,2,61,Unknown,50.9593636,4.2335677
Special De Ryck,"Fermentation haute, Ambrée",0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,8055,Unknown,50.8860005,2.5319929
Special Extra Export Stout,Stout,0,Brasserie De Dolle Brouwers,Dixmude,West Flanders,Unknown,3,16259,Unknown,51.0333408,2.8647185
Special Roman,Brune,0,Brasserie Roman,Audenarde,East Flanders,Unknown,0,0,Unknown,45.18442025,5.774715255279428
Speciale 1900,Ambrée,0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,2,3263,Unknown,50.9808426,4.552216324874748
Spéciale de Brabant,Pils,0,Groupe John Martin,Unknown,Unknown,Unknown,2,42,Unknown,46.3144754,11.0480288
Spéciale Gigi,Bière de table,0,Brasserie Gigi,Meix-devant-Virton,Luxembourg,Unknown,0,1,Unknown,49.619889,5.4250797
La Spéciale Fêtes,Bière de Noël,0,Brasserie de Bouillon,Bouillon,Luxembourg,Unknown,3,209,Unknown,49.8206215,5.086273
Speculoos bière,Fermentation haute (Bière-étiquette),0,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,Unknown,0,0,Unknown,50.5585572,4.133186556057117
Spelziale,Ale,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,0,10,Unknown,49.6952272,5.4924175
Spioenkopje,"Fruitée, Blanche",0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,2,736,Unknown,45.799734,11.7941917
Spitfire Oud Balegems,Ambrée,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,134,Unknown,53.7435722,-0.3394758
Sint-Amatus,Quadruple,0,Brasserie Deca,Vleteren,West Flanders,Unknown,0,0,Unknown,47.6865361,6.500773
St. Bernardus Abt 12,Fermentation haute,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Christmas Ale,Bière de Noël,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Extra 4,Blonde,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Pater 6,Fermentation haute,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Prior 8,Fermentation haute,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Tripel,"Fermentation haute, Triple",0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
St. Bernardus Witbier,Blanche,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
Sint-Idesbald Réserve Ten Duinen Blond,Abbaye,0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
Sint-Idesbald Réserve Ten Duinen Dubbel,Abbaye,0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
Sint-Idesbald Réserve Ten Duinen Rousse,Abbaye,0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
Sint-Idesbald Réserve Ten Duinen Tripel,"Abbaye, Triple",0,Brasserie Huyghe,Melle,East Flanders,Unknown,0,0,Unknown,44.5620476,7.32049
St. Benoit Blonde,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,1391,Unknown,50.3112826,4.944263618532086
St. Benoit Brune,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,936,Unknown,50.3112826,4.944263618532086
St. Feuillien Blonde,Abbaye,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,88592,Unknown,50.49827785,4.127326611228931
St. Feuillien Brune Réserve,Abbaye,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,32672,Unknown,50.49827785,4.127326611228931
Grand Cru St-Feuillien Grand Cru,Abbaye,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,0,0,Unknown,50.49827785,4.127326611228931
St. Feuillien Triple,Abbaye,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,85341,Unknown,50.49827785,4.127326611228931
St. Feuillien Cuvée de Noël,"Abbaye, Bière de Noël",0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,0,0,Unknown,50.49827785,4.127326611228931
St. Firminus Blond,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,0,Unknown,50.3112826,4.944263618532086
St. Firminus Bruin,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,6,Unknown,50.3112826,4.944263618532086
St. Louis Gueuze Fond Tradition,Gueuze,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,52182,Unknown,50.9202812,3.2549979
St. Louis Kriek Lambic,Kriek,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,19423,Unknown,50.9202812,3.2549979
St. Louis Premium Gueuze,Gueuze,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,14370,Unknown,50.9202812,3.2549979
St. Louis Premium Framboise,Fruitée,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,25286,Unknown,50.9202812,3.2549979
St. Louis Premium Kriek,Kriek,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,19377,Unknown,50.9202812,3.2549979
St. Louis Premium Pêche,Fruitée,0,Brasserie Van Honsebrouck,Ingelmunster,West Flanders,Unknown,3,10781,Unknown,50.9202812,3.2549979
St. Paul Blond,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,6752,Unknown,50.3112826,4.944263618532086
St. Paul Double,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,4566,Unknown,50.3112826,4.944263618532086
St. Paul Speciale,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,4723,Unknown,50.3112826,4.944263618532086
St. Paul Tripel,"Abbaye, Triple",0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,8833,Unknown,50.3112826,4.944263618532086
St. Sebastiaan Dark,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,5632,Unknown,50.3112826,4.944263618532086
St. Sebastiaan Grand Cru,Abbaye,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,5150,Unknown,50.3112826,4.944263618532086
Star Blond,Blonde,0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9808426,4.552216324874748
Steenbrugge Blond,"Abbaye, Blonde",0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,86243,Unknown,51.5118304,-0.124251
Steenbrugge Dubbel Bruin,"Abbaye, Triple, Brune",0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,48738,Unknown,51.5118304,-0.124251
Steenbrugge Tripel,"Abbaye, Triple",0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,56052,Unknown,51.5118304,-0.124251
Steenbrugge Wit,Blanche,0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,3927,Unknown,51.5118304,-0.124251
Steendonk,Blanche,0,Brasserie Duvel,Puurs,Antwerp,Duvel Moortgat,3,155,Unknown,51.0772325,4.2828146
Steenuilke,Fermentation haute,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,36050,Unknown,50.8860005,2.5319929
Stella Artois,"Pils, Fermentation basse",0,InBev,Unknown,Unknown,Unknown,3,1590000,Unknown,22.20903905,-100.99891264738864
Stepa,Triple,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,0,0,Unknown,51.1152543,3.8160967304356808
Stille Nacht,Brune,0,Brasserie De Dolle Brouwers,Dixmude,West Flanders,Unknown,3,40205,Unknown,51.0333408,2.8647185
Stoeren Bonk,Ambrée,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Stoeren Bonk Blond,Blonde,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Stout Leroy,Stout,0,Brasserie Het Sas,Ypres,West Flanders,Unknown,0,0,Unknown,50.8521947,2.8846047
Stoute Bie,Brune,0,Brasserie De Bie,Dentergem,West Flanders,Unknown,2,6056,Unknown,38.9028603,-77.0274147
Stouterik,Stout,0,Brasserie de la Senne,Molenbeek-Saint-Jean,Brussels,Unknown,3,31796,Unknown,50.867886850000005,4.349089742262716
Stout Vandenheuvel,Stout,0,Brasserie L'Imprimerie,Uccle,Brussels,Unknown,0,0,Unknown,47.9288739,-3.6895276
Straffe Hendrik,"Fermentation haute, Triple",0,Brasserie De Halve Maan,Bruges,West Flanders,Unknown,0,0,Unknown,52.1220707,4.7927033
Straffe Hendrik Quadrupel,"Fermentation haute, Spéciale",0,Brasserie De Halve Maan,Bruges,West Flanders,Unknown,3,225552,Unknown,52.1220707,4.7927033
Straffe Toeback,Fermentation haute,0,Scheldebrouwerij,Unknown,Unknown,Unknown,0,4,Unknown,46.3144754,11.0480288
Straffe Winter,Gueuze,0,Gueuzestekerij 3 fonteinen,Unknown,Unknown,Unknown,3,32,Unknown,46.3144754,11.0480288
Strandgaper,Blonde dorée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,71219,Unknown,51.1152543,3.8160967304356808
Strandjuttersbière Mong De Vos,Quadruple,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,1432,Unknown,45.799734,11.7941917
Stropken,Ambrée,0,Brasserie Boon,Hal,Flemish Brabant,Unknown,3,21,Unknown,53.7435722,-0.3394758
Strubbe Pils,Pils,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,0,0,Unknown,45.799734,11.7941917
Struise Rosse,"Fermentation haute, Ale",0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,1622,Unknown,47.6865361,6.500773
Struise Witte,Fermentation haute,0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,3080,Unknown,47.6865361,6.500773
Struiselensis,"Fermentation haute, Blonde, Ale",0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,515,Unknown,47.6865361,6.500773
Suma Pils,(Bière-étiquette),0,Brasserie Het Sas,Ypres,West Flanders,Unknown,0,0,Unknown,50.8521947,2.8846047
Super 64,"Fermentation haute, Ambrée",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,1360,Unknown,50.6494429,3.925039716650109
Super des Fagnes Blonde,"Fermentation haute, Blonde",0,Brasserie des Fagnes,Couvin,Namur,Unknown,3,24167,Unknown,50.083704350000005,4.5232510455510795
Super des Fagnes Brune,"Fermentation haute, Brune",0,Brasserie des Fagnes,Couvin,Namur,Unknown,3,51,Unknown,50.083704350000005,4.5232510455510795
Super des Fagnes Griottes,"Fermentation haute, Kriek",0,Brasserie des Fagnes,Couvin,Namur,Unknown,0,0,Unknown,50.083704350000005,4.5232510455510795
Super des Fagnes Noël,"Fermentation haute, Brune",0,Brasserie des Fagnes,Couvin,Namur,Unknown,0,0,Unknown,50.083704350000005,4.5232510455510795
Super des Fagnes Scotch,"Fermentation haute, Brune",0,Brasserie des Fagnes,Couvin,Namur,Unknown,3,833,Unknown,50.083704350000005,4.5232510455510795
Superpils,Pils,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,911,Unknown,45.799734,11.7941917
Sur-les-Bois Ambrée,Fermentation haute,0,Brasserie La Botteresse,Saint-Georges-sur-Meuse,Liege,Unknown,2,336,Unknown,50.6000654,5.3584259
Sur-les-Bois Blonde,Fermentation haute,0,Brasserie La Botteresse,Saint-Georges-sur-Meuse,Liege,Unknown,0,0,Unknown,50.6000654,5.3584259
Sur-les-Bois Brune,Fermentation haute,0,Brasserie La Botteresse,Saint-Georges-sur-Meuse,Liege,Unknown,2,327,Unknown,50.6000654,5.3584259
Svea IPA,IPA,0,Brasserie Deca,Vleteren,West Flanders,Unknown,3,1922,Unknown,47.6865361,6.500773
Sword,Stout,0,Brouwerij Bier & Karakter chez Brasserie Deca,Unknown,Unknown,Unknown,3,9134,Unknown,46.3144754,11.0480288
't Baronneke,Stout,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,0,9,Unknown,51.0570823,4.6310473
't Gaverhopke Blondje,Fermentation haute,0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,2,Unknown,50.857512,3.3113699
't Gaverhopke Bruintje,Fermentation haute,0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
't Gaverhopke Bière de Noël,"Fermentation haute, Bière de Noël",0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
't Gaverhopke Kriek,"Fermentation haute, Fruitée",0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
't Gaverhopke Paasbier,"Fermentation haute, Bière de Saint-Louis",0,Brasserie 't Gaverhopke,Harelbeke,West Flanders,Unknown,0,0,Unknown,50.857512,3.3113699
't Schoenlappertje,Fruitée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,2,68,Unknown,51.1152543,3.8160967304356808
't Smisje + dubbel IPA,IPA,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje Banananbière,Fruitée,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje BBBourgondier,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,991,Unknown,52.6421622,5.0591962
't Smisje Blond,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,54,Unknown,52.6421622,5.0591962
't Smisje Calva Reserva,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,1180,Unknown,52.6421622,5.0591962
't Smisje Catherine The Great Imperial Stout,Stout,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,1751,Unknown,52.6421622,5.0591962
't Smisje Cuvee 2005,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje Dubbel,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,316,Unknown,52.6421622,5.0591962
't Smisje Fiori,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,2,56,Unknown,52.6421622,5.0591962
't Smisje Grande Reserva,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,288,Unknown,52.6421622,5.0591962
't Smisje Great Reserva,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,187,Unknown,52.6421622,5.0591962
't Smisje Halloween,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,57,Unknown,52.6421622,5.0591962
't Smisje Honing,Bière au miel,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,22,Unknown,52.6421622,5.0591962
't Smisje Bière au miel Bruin,Bière au miel,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje Kuvee Elektrik 979 W,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,136,Unknown,52.6421622,5.0591962
't Smisje Meso,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,13,Unknown,52.6421622,5.0591962
't Smisje Sleedoornbière,Fruitée,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje Sleedoorn Extra,Fruitée,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
't Smisje Speciaal,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,346,Unknown,52.6421622,5.0591962
't Smisje Tripel,Triple,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,93,Unknown,52.6421622,5.0591962
't Zelfde,Blonde,0,Brasserie Bosteels,Buggenhout,East Flanders,AB InBev,0,0,Unknown,51.0152271,4.2022689
't Zwarte Gat bière,Blonde,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
Tania,Blonde,0,Brasserie Saint-Monon,Nassogne,Luxembourg,Unknown,4,236,Unknown,50.1287359,5.3418985
Taras Boulba,Blonde,0,Brasserie de la Senne,Molenbeek-Saint-Jean,Brussels,Unknown,3,99474,Unknown,50.867886850000005,4.349089742262716
Tatsevoet,Spéciale,0,Brasserie Het Alternatief par la Brasserie Alvinne,Unknown,Unknown,Unknown,2,185,Unknown,46.3144754,11.0480288
Tempelier,Spéciale,0,Brasserie du Bocq,Yvoir,Namur,Unknown,0,0,Unknown,50.3112826,4.944263618532086
Ter Dolen Blond,Blonde,0,KasteelBrasserie De Dool,Houthalen-Helchteren,Limburg,Unknown,3,42561,Unknown,51.0467933,5.3780416
Ter Dolen Donker,Brune,0,Brasserie Toye,Courtrai,West Flanders,Unknown,3,21061,Unknown,50.8276429,3.2659884
Ter Dolen Kriek,Fruitée,0,Brasserie Toye,Courtrai,West Flanders,Unknown,3,16575,Unknown,50.8276429,3.2659884
Ter Dolen Tripel,Triple,0,Brasserie Toye,Courtrai,West Flanders,Unknown,3,40512,Unknown,50.8276429,3.2659884
Terracotta,Blonde,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,4,268,Unknown,52.6421622,5.0591962
The Pom,Fruitée,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,0,0,Unknown,50.7377318,5.9611134
Thor,Brune,0,Brasserie Valduc-Thor,Thorembais-Saint-Trond,Walloon Brabant,Unknown,0,0,Unknown,50.62655215,4.780410118340674
Thouroutenaere,Blonde,0,Alken-Maes,Unknown,Unknown,Unknown,3,1079,Unknown,50.87932945,5.307086120219811
Timmermans Caveau Gueuze,Gueuze,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,0,0,Unknown,50.85182815,4.239174079387096
Timmermans Faro Lambic,Faro,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,9934,Unknown,50.85182815,4.239174079387096
Timmermans Framboise Lambic,Fruitée,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,21784,Unknown,50.85182815,4.239174079387096
Timmermans Gueuze Lambic,Gueuze,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,1290,Unknown,50.85182815,4.239174079387096
Timmermans Kriek Lambic,Kriek,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,58431,Unknown,50.85182815,4.239174079387096
Timmermans Kriek Retro,Fruitée,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,2046,Unknown,50.85182815,4.239174079387096
Timmermans Lambicus Blanche,Blanche,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,33741,Unknown,50.85182815,4.239174079387096
Timmermans Oude Gueuze,Lambic,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,29462,Unknown,50.85182815,4.239174079387096
Timmermans Oude Kriek,Kriek,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,8877,Unknown,50.85182815,4.239174079387096
Timmermans Pêche Lambic,Fruitée,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,27986,Unknown,50.85182815,4.239174079387096
Timmermans Strawberry Lambic,Fruitée,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,3,23625,Unknown,50.85182815,4.239174079387096
Timmermans Warme Kriek,Kriek,0,Brasserie Timmermans,Dilbeek,Flemish Brabant,John Martin SA,0,0,Unknown,50.85182815,4.239174079387096
Tineke Van Heule,Fermentation haute,0,Brasserie Gulden Spoor,Wevelgem,West Flanders,Unknown,3,251,Unknown,50.8089591,3.1841013
Titje,"Fermentation haute, Blanche",0,Brasserie de Silly,Silly,Hainaut,Unknown,0,0,Unknown,50.6494429,3.925039716650109
Tits,Triple,0,Brasserie Artois,Louvain,Flemish Brabant,AB InBev,0,0,Unknown,50.88812705,4.710538805265111
Tits Brassin de Chêne,Brune,0,Brasserie Artois,Louvain,Flemish Brabant,AB InBev,3,433,Unknown,50.88812705,4.710538805265111
Toetëlèr Amber Tripel,Triple,0,Brasserie Den Toetëlèr,Hoeselt,Limburg,Unknown,3,4000,Unknown,50.8500788,5.4865309
Toetëlèr Speculaas,Unknown,0,Brasserie Den Toetëlèr,Hoeselt,Limburg,Unknown,3,3563,Unknown,50.8500788,5.4865309
Toetëlèr Wit,Blanche,0,Brasserie Den Toetëlèr,Hoeselt,Limburg,Unknown,3,2734,Unknown,50.8500788,5.4865309
Tongerlo Blond,"Fermentation haute, Abbaye",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,138460,Unknown,50.9808426,4.552216324874748
Tongerlo Bruin,"Fermentation haute, Abbaye",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,55,Unknown,50.9808426,4.552216324874748
Tongerlo Christmas,"Fermentation haute, Abbaye",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,21353,Unknown,50.9808426,4.552216324874748
Tongerlo Tripel,"Fermentation haute, Abbaye, Triple",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,79472,Unknown,50.9808426,4.552216324874748
Tongerlo Prior,"Fermentation haute, Abbaye",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,3,13,Unknown,50.9808426,4.552216324874748
Tonneke,"Fermentation haute, Ambrée",0,Brasserie Contreras,Gavere,East Flanders,Unknown,0,12,Unknown,50.9292999,3.6863506459883193
Toria Blond,Fermentation haute,0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,1841,Unknown,51.7168889,9.1841762
Toria Tripel,"Fermentation haute, Triple",0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,1206,Unknown,51.7168889,9.1841762
Totentrekker,Ambrée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,19,Unknown,51.1152543,3.8160967304356808
Tournay,Fermentation haute,0,Brasserie de Cazeau,Tournai,Hainaut,Unknown,3,5405,Unknown,50.64468995,3.279384497906812
Tournay de Noël,"Stout, Bière de Noël",0,Brasserie de Cazeau,Tournai,Hainaut,Unknown,3,3705,Unknown,50.64468995,3.279384497906812
Tournay Noire,Stout,0,Brasserie de Cazeau,Tournai,Hainaut,Unknown,3,5405,Unknown,50.64468995,3.279384497906812
Tournay Triple,"Blonde, Fermentation haute, Triple",0,Brasserie de Cazeau,Tournai,Hainaut,Unknown,3,6598,Unknown,50.64468995,3.279384497906812
Tournée Générale,Spéciale,0,Brasserie Duvel,Puurs,Antwerp,Duvel Moortgat,3,215,Unknown,51.0772325,4.2828146
Tournée Générale Tripel Hop,"Blonde, Fermentation haute, Triple",0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,590,Unknown,51.5118304,-0.124251
Toverhekske,Ambrée,0,Brasserie Walrave,Laarne,East Flanders,Unknown,2,189,Unknown,51.029657,3.8504738
Trammelantje,Ambrée,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,1569,Unknown,45.799734,11.7941917
Trappieter,Ambrée,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,208,Unknown,51.1152543,3.8160967304356808
Tremist,"Fermentation haute, Blonde",0,Brasserie Van Eecke,Poperinge,West Flanders,Unknown,3,71,Unknown,50.8556646,2.7264961
Triest Blond,Fermentation haute,0,Brasserie Den Triest,Kapelle-op-den-Bos,Flemish Brabant,Unknown,0,0,Unknown,51.0131904,4.3599725
Triest Dubbel,Fermentation haute,0,Brasserie Den Triest,Kapelle-op-den-Bos,Flemish Brabant,Unknown,3,49,Unknown,51.0131904,4.3599725
Triest Kriek,"Blanche, Fruitée",0,Brasserie Den Triest,Kapelle-op-den-Bos,Flemish Brabant,Unknown,0,0,Unknown,51.0131904,4.3599725
Triest Tripel,"Fermentation haute, Triple",0,Brasserie Den Triest,Kapelle-op-den-Bos,Flemish Brabant,Unknown,0,0,Unknown,51.0131904,4.3599725
Triest X-mas,"Fermentation haute, Bière de Noël",0,Brasserie Den Triest,Kapelle-op-den-Bos,Flemish Brabant,Unknown,2,12,Unknown,51.0131904,4.3599725
Tripel Kanunnik,Triple,0,Brasserie Wilderen,Saint-Trond,Limburg,Unknown,3,115707,Unknown,50.8152784,5.1858896
Tripel Karmeliet,Triple,0,Brasserie Bosteels,Buggenhout,East Flanders,AB InBev,3,946175,Unknown,51.0152271,4.2022689
Tripel Klok,Triple,0,Brasserie Boelens,Saint-Nicolas,East Flanders,Unknown,3,9087,Unknown,50.3022047,2.7767966
Tripel Trezeke,Triple,0,Brasserie Anders!,Halen,Limburg,Unknown,3,1316,Unknown,52.9587484,5.7233277
Triple de Brabant,"Triple, Blonde",0,Groupe John Martin,Unknown,Unknown,Unknown,0,0,Unknown,46.3144754,11.0480288
Triple Moine,Triple,0,Brasserie du Bocq,Yvoir,Namur,Unknown,3,11345,Unknown,50.3112826,4.944263618532086
Trisser,Triple,0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,952,Unknown,51.1152543,3.8160967304356808
Tripick 6,"Fermentation haute, Blonde",0,Brasserie Lupulus,Gouvy,Luxembourg,Unknown,3,10729,Unknown,50.2144933,5.9136085
Tripick 8,"Triple, Blonde",0,Brasserie Lupulus,Gouvy,Luxembourg,Unknown,3,11220,Unknown,50.2144933,5.9136085
Triverius,Blanche,0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,3799,Unknown,51.7168889,9.1841762
